@T,table ,
Created,2014-05-09 16:55 ,
Author,HortonMachine library ,
date_format,yyyy-MM-dd HH:mm ,
@H,timestamp,value_1
ID,d,86
Type,Date,Double
Format,yyyy-MM-dd HH:mm ,
,2004-06-10 00:00,-9999
,2004-06-10 01:00,-9999
,2004-06-10 02:00,-9999
,2004-06-10 03:00,-9999
,2004-06-10 04:00,-9999
,2004-06-10 05:00,-9999
,2004-06-10 06:00,-9999
,2004-06-10 07:00,-9999
,2004-06-10 08:00,-9999
,2004-06-10 09:00,-9999
,2004-06-10 10:00,-9999
,2004-06-10 11:00,-9999
,2004-06-10 12:00,-9999
,2004-06-10 13:00,-9999
,2004-06-10 14:00,-9999
,2004-06-10 15:00,-9999
,2004-06-10 16:00,-9999
,2004-06-10 17:00,-9999
,2004-06-10 18:00,-9999
,2004-06-10 19:00,-9999
,2004-06-10 20:00,-9999
,2004-06-10 21:00,-9999
,2004-06-10 22:00,-9999
,2004-06-10 23:00,-9999
,2004-06-11 00:00,-9999
,2004-06-11 01:00,-9999
,2004-06-11 02:00,-9999
,2004-06-11 03:00,-9999
,2004-06-11 04:00,-9999
,2004-06-11 05:00,-9999
,2004-06-11 06:00,-9999
,2004-06-11 07:00,-9999
,2004-06-11 08:00,-9999
,2004-06-11 09:00,-9999
,2004-06-11 10:00,-9999
,2004-06-11 11:00,-9999
,2004-06-11 12:00,-9999
,2004-06-11 13:00,-9999
,2004-06-11 14:00,-9999
,2004-06-11 15:00,-9999
,2004-06-11 16:00,-9999
,2004-06-11 17:00,-9999
,2004-06-11 18:00,-9999
,2004-06-11 19:00,-9999
,2004-06-11 20:00,-9999
,2004-06-11 21:00,-9999
,2004-06-11 22:00,-9999
,2004-06-11 23:00,-9999
,2004-06-12 00:00,-9999
,2004-06-12 01:00,-9999
,2004-06-12 02:00,-9999
,2004-06-12 03:00,-9999
,2004-06-12 04:00,-9999
,2004-06-12 05:00,-9999
,2004-06-12 06:00,-9999
,2004-06-12 07:00,-9999
,2004-06-12 08:00,-9999
,2004-06-12 09:00,-9999
,2004-06-12 10:00,-9999
,2004-06-12 11:00,-9999
,2004-06-12 12:00,-9999
,2004-06-12 13:00,-9999
,2004-06-12 14:00,-9999
,2004-06-12 15:00,-9999
,2004-06-12 16:00,-9999
,2004-06-12 17:00,-9999
,2004-06-12 18:00,-9999
,2004-06-12 19:00,-9999
,2004-06-12 20:00,-9999
,2004-06-12 21:00,-9999
,2004-06-12 22:00,-9999
,2004-06-12 23:00,-9999
,2004-06-13 00:00,-9999
,2004-06-13 01:00,-9999
,2004-06-13 02:00,-9999
,2004-06-13 03:00,-9999
,2004-06-13 04:00,-9999
,2004-06-13 05:00,-9999
,2004-06-13 06:00,-9999
,2004-06-13 07:00,-9999
,2004-06-13 08:00,-9999
,2004-06-13 09:00,-9999
,2004-06-13 10:00,-9999
,2004-06-13 11:00,-9999
,2004-06-13 12:00,-9999
,2004-06-13 13:00,-9999
,2004-06-13 14:00,-9999
,2004-06-13 15:00,-9999
,2004-06-13 16:00,-9999
,2004-06-13 17:00,-9999
,2004-06-13 18:00,-9999
,2004-06-13 19:00,-9999
,2004-06-13 20:00,-9999
,2004-06-13 21:00,-9999
,2004-06-13 22:00,-9999
,2004-06-13 23:00,-9999
,2004-06-14 00:00,-9999
,2004-06-14 01:00,-9999
,2004-06-14 02:00,-9999
,2004-06-14 03:00,-9999
,2004-06-14 04:00,-9999
,2004-06-14 05:00,0.404262634501433
,2004-06-14 06:00,0.571511395059387
,2004-06-14 07:00,0.658155909744845
,2004-06-14 08:00,0.706125646730364
,2004-06-14 09:00,0.58701792898638
,2004-06-14 10:00,0.607023638755498
,2004-06-14 11:00,0.656986141233374
,2004-06-14 12:00,0.754550550230905
,2004-06-14 13:00,0.771520829599139
,2004-06-14 14:00,0.680774529760758
,2004-06-14 15:00,0.744160517631531
,2004-06-14 16:00,0.295483827755919
,2004-06-14 17:00,0.215560390786422
,2004-06-14 18:00,0.377311792201337
,2004-06-14 19:00,-9999
,2004-06-14 20:00,-9999
,2004-06-14 21:00,-9999
,2004-06-14 22:00,-9999
,2004-06-14 23:00,-9999
,2004-06-15 00:00,-9999
,2004-06-15 01:00,-9999
,2004-06-15 02:00,-9999
,2004-06-15 03:00,-9999
,2004-06-15 04:00,-9999
,2004-06-15 05:00,0.0659827608221056
,2004-06-15 06:00,0.20984524234738
,2004-06-15 07:00,0.34518820339265
,2004-06-15 08:00,0.483879641846013
,2004-06-15 09:00,0.601277543985767
,2004-06-15 10:00,0.594985289850176
,2004-06-15 11:00,0.481128743131712
,2004-06-15 12:00,0.572004245718324
,2004-06-15 13:00,0.558109460604587
,2004-06-15 14:00,0.55740552656745
,2004-06-15 15:00,0.581427132286496
,2004-06-15 16:00,0.63693722885422
,2004-06-15 17:00,0.206531896415579
,2004-06-15 18:00,0.212611118204563
,2004-06-15 19:00,-9999
,2004-06-15 20:00,-9999
,2004-06-15 21:00,-9999
,2004-06-15 22:00,-9999
,2004-06-15 23:00,-9999
,2004-06-16 00:00,-9999
,2004-06-16 01:00,-9999
,2004-06-16 02:00,-9999
,2004-06-16 03:00,-9999
,2004-06-16 04:00,-9999
,2004-06-16 05:00,0.253625958996559
,2004-06-16 06:00,0.377451293563182
,2004-06-16 07:00,0.528443526230142
,2004-06-16 08:00,0.396744518182434
,2004-06-16 09:00,0.56984209928361
,2004-06-16 10:00,0.597880836427509
,2004-06-16 11:00,0.58224048248356
,2004-06-16 12:00,0.648332645360072
,2004-06-16 13:00,0.758641588010235
,2004-06-16 14:00,0.647883683383229
,2004-06-16 15:00,0.635342263144925
,2004-06-16 16:00,0.565983230279278
,2004-06-16 17:00,0.512097661442446
,2004-06-16 18:00,0.360929249341257
,2004-06-16 19:00,1
,2004-06-16 20:00,-9999
,2004-06-16 21:00,-9999
,2004-06-16 22:00,-9999
,2004-06-16 23:00,-9999
,2004-06-17 00:00,-9999
,2004-06-17 01:00,-9999
,2004-06-17 02:00,-9999
,2004-06-17 03:00,-9999
,2004-06-17 04:00,-9999
,2004-06-17 05:00,0.355477605509816
,2004-06-17 06:00,0.335332459890635
,2004-06-17 07:00,0.434495368920061
,2004-06-17 08:00,0.21598602159478
,2004-06-17 09:00,0.165315991990035
,2004-06-17 10:00,0.343902650057095
,2004-06-17 11:00,0.309622055321211
,2004-06-17 12:00,0.441024554021699
,2004-06-17 13:00,0.656315418904143
,2004-06-17 14:00,0.742074857899401
,2004-06-17 15:00,0.750992212841034
,2004-06-17 16:00,0.573071964987588
,2004-06-17 17:00,0.264736152545238
,2004-06-17 18:00,0.287303818151769
,2004-06-17 19:00,1
,2004-06-17 20:00,-9999
,2004-06-17 21:00,-9999
,2004-06-17 22:00,-9999
,2004-06-17 23:00,-9999
,2004-06-18 00:00,-9999
,2004-06-18 01:00,-9999
,2004-06-18 02:00,-9999
,2004-06-18 03:00,-9999
,2004-06-18 04:00,-9999
,2004-06-18 05:00,0.252927578187178
,2004-06-18 06:00,0.0782898227117402
,2004-06-18 07:00,0.0317529527806124
,2004-06-18 08:00,0.283197423064648
,2004-06-18 09:00,0.452089089233942
,2004-06-18 10:00,0.381212317027026
,2004-06-18 11:00,0.47292106650086
,2004-06-18 12:00,0.369838438028959
,2004-06-18 13:00,0.41767610387309
,2004-06-18 14:00,0.521818867042241
,2004-06-18 15:00,0.129477421050958
,2004-06-18 16:00,0.216497405322357
,2004-06-18 17:00,0.444377444406074
,2004-06-18 18:00,0.282111529516468
,2004-06-18 19:00,-9999
,2004-06-18 20:00,-9999
,2004-06-18 21:00,-9999
,2004-06-18 22:00,-9999
,2004-06-18 23:00,-9999
,2004-06-19 00:00,-9999
,2004-06-19 01:00,-9999
,2004-06-19 02:00,-9999
,2004-06-19 03:00,-9999
,2004-06-19 04:00,-9999
,2004-06-19 05:00,0.425312419367504
,2004-06-19 06:00,0.515959229026141
,2004-06-19 07:00,0.663179789559511
,2004-06-19 08:00,0.678811023316467
,2004-06-19 09:00,0.745368992870465
,2004-06-19 10:00,0.759169431681278
,2004-06-19 11:00,0.775940893496589
,2004-06-19 12:00,0.703934208146753
,2004-06-19 13:00,0.726846715703582
,2004-06-19 14:00,0.742136289679576
,2004-06-19 15:00,0.477151255026023
,2004-06-19 16:00,0.59390311948583
,2004-06-19 17:00,0.550136015564197
,2004-06-19 18:00,0.678069514305907
,2004-06-19 19:00,1
,2004-06-19 20:00,-9999
,2004-06-19 21:00,-9999
,2004-06-19 22:00,-9999
,2004-06-19 23:00,-9999
